title,url,country,doc_type,programme,sector,pub_date,collection_date,file_format
REACH UKR Map REF Kharkivska oblast Overview Map horizontal 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/912d8233/REACH_UKR_Map_REF_Kharkivska_OverviewMap_horizontal_11MARCH2026_A0_EN.pdf,Ukraine,Map,-,-,16 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Luhanska oblast Overview Map horizontal 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/1f664c88/REACH_UKR_Map_REF_Luhanska_OverviewMap_horizontal_11MARCH2026_A0_EN.pdf,Ukraine,Map,-,-,16 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Donetska oblast Overview Map horizontal 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/c3477586/REACH_UKR_Map_REF_Donetska_OverviewMap_horizontal_11MARCH2026_A0_EN.pdf,Ukraine,Map,-,-,16 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Khersonska oblast Overview Map horizontal 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/50d370e2/REACH_UKR_Map_REF_Khersonska_OverviewMap_horizontal_11MARCH2026_A0_EN.pdf,Ukraine,Map,-,-,16 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Zaporizka oblast Overview Map horizontal 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/3d4f1d8b/REACH_UKR_Map_REF_Zaporizka_OverviewMap_horizontal_11MARCH2026_A0_EN.pdf,Ukraine,Map,-,-,16 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Dnipropetrovska oblast Overview Map horizontal 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/4fcba5b5/REACH_UKR_Map_REF_Dnipropetrovska_OverviewMap_horizontal_11MARCH2026_A0_EN.pdf,Ukraine,Map,-,-,16 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Mykolaivska oblast Overview Map horizontal 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/a9888ed5/REACH_UKR_Map_REF_Mykolaivska_OverviewMap_horizontal_11MARCH2026_A0_EN.pdf,Ukraine,Map,-,-,16 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Kirovohradska oblast Overview Map horizontal 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/fb790f82/REACH_UKR_Map_REF_Kirovohradska_OverviewMap_horizontal_11MARCH2026_A0_EN.pdf,Ukraine,Map,-,-,16 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Cherkaska oblast Overview Map horizontal 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/26cc3536/REACH_UKR_Map_REF_Cherkaska_OverviewMap_horizontal_11MARCH2026_A0_EN.pdf,Ukraine,Map,-,-,16 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Poltavska oblast Overview Map horizontal 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/39e9ded8/REACH_UKR_Map_REF_Poltavska_OverviewMap_horizontal_11MARCH2026_A0_EN.pdf,Ukraine,Map,-,-,16 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Sumska oblast Overview Map horizontal 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/16693f92/REACH_UKR_Map_REF_Sumska_OverviewMap_horizontal_11MARCH2026_A0_EN.pdf,Ukraine,Map,-,-,16 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Chernihivska oblast Overview Map horizontal 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/6ef45148/REACH_UKR_Map_REF_Chernihivska_OverviewMap_horizontal_11MARCH2026_A0_EN.pdf,Ukraine,Map,-,-,16 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Kyivska oblast Overview Map horizontal 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/077b1f33/REACH_UKR_Map_REF_Kyivska_OverviewMap_horizontal_11MARCH2026_A0_EN.pdf,Ukraine,Map,-,-,16 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Zhytomyrska oblast Overview Map horizontal 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/713f5685/REACH_UKR_Map_REF_Zhytomyrska_OverviewMap_horizontal_11MARCH2026_A0_EN.pdf,Ukraine,Map,-,-,16 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Rivnenska oblast Overview Map horizontal 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/928b483c/REACH_UKR_Map_REF_Rivnenska_OverviewMap_horizontal_11MARCH2026_A0_EN.pdf,Ukraine,Map,-,-,16 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Volynska oblast Overview Map horizontal 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/029c2594/REACH_UKR_Map_REF_Volynska_OverviewMap_horizontal_11MARCH2026_A0_EN.pdf,Ukraine,Map,-,-,16 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Ternopilska oblast Overview Map horizontal 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/19b11fba/REACH_UKR_Map_REF_Ternopilska_OverviewMap_horizontal_11MARCH2026_A0_EN.pdf,Ukraine,Map,-,-,16 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Khmelnytska oblast Overview Map horizontal 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/399cf72f/REACH_UKR_Map_REF_Khmelnytska_OverviewMap_horizontal_11MARCH2026_A0_EN.pdf,Ukraine,Map,-,-,16 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Vinnytska oblast Overview Map horizontal 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/34069f51/REACH_UKR_Map_REF_Vinnytska_OverviewMap_horizontal_11MARCH2026_A0_EN.pdf,Ukraine,Map,-,-,16 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Odeska oblast Overview Map horizontal 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/132993c9/REACH_UKR_Map_REF_Odeska_OverviewMap_horizontal_11MARCH2026_A0_EN.pdf,Ukraine,Map,-,-,16 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Ivano-Frankivska oblast Overview Map horizontal 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/e5a81ff5/REACH_UKR_Map_REF_Ivano-Frankivska_OverviewMap_horizontal_11MARCH2026_A0_EN.pdf,Ukraine,Map,-,-,16 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Chernivetska oblast Overview Map horizontal 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/8d1254ce/REACH_UKR_Map_REF_Chernivetska_OverviewMap_horizontal_11MARCH2026_A0_EN.pdf,Ukraine,Map,-,-,16 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Zakarpatska oblast Overview Map horizontal 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/ced49ec2/REACH_UKR_Map_REF_Zakarpatska_OverviewMap_horizontal_11MARCH2026_A0_EN.pdf,Ukraine,Map,-,-,16 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Lvivska oblast Overview Map horizontal 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/de2a75b5/REACH_UKR_Map_REF_Lvivska_OverviewMap_horizontal_11MARCH2026_A0_EN.pdf,Ukraine,Map,-,-,16 March 2026,8 March 2026 - 11 March 2026,PDF
Працевлаштування Ветеранів - Огляд Ситуації. Лютий 2026,https://repository.impact-initiatives.org/document/impact/9dc4dce7/Veterans-Employment-Assessment_SO_UKR.pdf,Ukraine,Situation Overview,"Accountability &amp; Inclusion, Cash &amp; Markets",Early Recovery,16 March 2026,13 October 2025 - 14 November 2025,PDF
"REACH Ukraine, IDP Collective Site Monitoring, updated Terms of Reference, March 2026",https://repository.impact-initiatives.org/document/impact/f8a81ae6/REACH_Ukraine_ToR_Collective-Site-Monitoring_March_2026.pdf,Ukraine,Terms of Reference,-,Camp Coordination / Management (CCCM),12 March 2026,26 March 2026 - 17 April 2026,PDF
REACH UKR Map Overview Map Ukraine 10 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/c0d7dbc1/REACH_UKR_Map_OverviewMap_Ukraine_10MARCH2026_A0_EN_TH.pdf,Ukraine,Map,-,-,12 March 2026,8 March 2026 - 10 March 2026,PDF
REACH UKR Map REF Khersonska oblast Overview Map vertical 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/c58d28b3/REACH_UKR_Map_REF_Khersonska_OverviewMap_vertical_11MARCH2026_A0_EN_TH.pdf,Ukraine,Map,-,-,12 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Mykolaivska oblast Overview Map vertical 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/d9cfbb36/REACH_UKR_Map_REF_Mykolaivska_OverviewMap_vertical_11MARCH2026_A0_EN_TH.pdf,Ukraine,Map,-,-,12 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Kirovohradska oblast Overview Map vertical 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/9b820881/REACH_UKR_Map_REF_Kirovohradska_OverviewMap_vertical_11MARCH2026_A0_EN_TH.pdf,Ukraine,Map,-,-,12 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Dnipropetrovska oblast Overview Map vertical 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/11a693c7/REACH_UKR_Map_REF_Dnipropetrovska_OverviewMap_vertical_11MARCH2026_A0_EN_TH.pdf,Ukraine,Map,-,-,12 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Odeska oblast Overview Map vertical 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/c905c3ad/REACH_UKR_Map_REF_Odeska_OverviewMap_vertical_11MARCH2026_A0_EN_TH.pdf,Ukraine,Map,-,-,12 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Donetska oblast Overview Map vertical 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/b3cc1518/REACH_UKR_Map_REF_Donetska_OverviewMap_vertical_11MARCH2026_A0_EN_TH.pdf,Ukraine,Map,-,-,12 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Luhanska oblast Overview Map vertical 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/5614b7d9/REACH_UKR_Map_REF_Luhanska_OverviewMap_vertical_11MARCH2026_A0_EN_TH.pdf,Ukraine,Map,-,-,12 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Kharkivska oblast Overview Map vertical 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/d9f7ce09/REACH_UKR_Map_REF_Kharkivska_OverviewMap_vertical_11MARCH2026_A0_EN_TH.pdf,Ukraine,Map,-,-,12 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Rivnenska oblast Overview Map vertical 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/1afba3df/REACH_UKR_Map_REF_Rivnenska_OverviewMap_vertical_11MARCH2026_A0_EN_TH-1.pdf,Ukraine,Map,-,-,12 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Volynska oblast Overview Map vertical 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/5c790ee1/REACH_UKR_Map_REF_Volynska_OverviewMap_vertical_11MARCH2026_A0_EN_TH-1.pdf,Ukraine,Map,-,-,12 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Lvivska oblast Overview Map vertical 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/b276774f/REACH_UKR_Map_REF_Lvivska_OverviewMap_vertical_11MARCH2026_A0_EN_TH-1.pdf,Ukraine,Map,-,-,12 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Zakarpatska oblast Overview Map vertical 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/2a164e94/REACH_UKR_Map_REF_Zakarpatska_OverviewMap_vertical_11MARCH2026_A0_EN_TH-1.pdf,Ukraine,Map,-,-,12 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Kyivska oblast Overview Map vertical 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/c4edc241/REACH_UKR_Map_REF_Kyivska_OverviewMap_vertical_11MARCH2026_A0_EN_TH.pdf,Ukraine,Map,-,-,12 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Sumska oblast Overview Map vertical 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/01ef7100/REACH_UKR_Map_REF_Sumska_OverviewMap_vertical_11MARCH2026_A0_EN_TH.pdf,Ukraine,Map,-,-,12 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Chernihivska oblast Overview Map vertical 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/dc6f9ac2/REACH_UKR_Map_REF_Chernihivska_OverviewMap_vertical_11MARCH2026_A0_EN_TH.pdf,Ukraine,Map,-,-,12 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Poltavska oblast Overview Map vertical 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/9b9dd805/REACH_UKR_Map_REF_Poltavska_OverviewMap_vertical_11MARCH2026_A0_EN_TH.pdf,Ukraine,Map,-,-,12 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Cherkaska oblast Overview Map vertical 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/dbcb7ab5/REACH_UKR_Map_REF_Cherkaska_OverviewMap_vertical_11MARCH2026_A0_EN_TH.pdf,Ukraine,Map,-,-,12 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Zaporizka oblast Overview Map vertical 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/261ddcec/REACH_UKR_Map_REF_Zaporizka_OverviewMap_vertical_11MARCH2026_A0_EN_TH.pdf,Ukraine,Map,-,-,12 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Zhytomyrska oblast Overview Map vertical 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/81e206ad/REACH_UKR_Map_REF_Zhytomyrska_OverviewMap_vertical_11MARCH2026_A0_EN_TH-1.pdf,Ukraine,Map,-,-,12 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Vinnytska oblast Overview Map vertical 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/f0f0fde0/REACH_UKR_Map_REF_Vinnytska_OverviewMap_vertical_11MARCH2026_A0_EN_TH.pdf,Ukraine,Map,-,-,12 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Khmelnytska oblast Overview Map vertical 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/b63d6652/REACH_UKR_Map_REF_Khmelnytska_OverviewMap_vertical_11MARCH2026_A0_EN_TH-1.pdf,Ukraine,Map,-,-,12 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Ternopilska oblast Overview Map vertical 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/8ff38017/REACH_UKR_Map_REF_Ternopilska_OverviewMap_vertical_11MARCH2026_A0_EN_TH-1.pdf,Ukraine,Map,-,-,12 March 2026,8 March 2026 - 11 March 2026,PDF
REACH UKR Map REF Ivano-Frankivska oblast Overview Map vertical 11 MARCH 2026 A0 EN,https://repository.impact-initiatives.org/document/impact/5fd6e59d/REACH_UKR_Map_REF_Ivano-Frankivska_OverviewMap_vertical_11MARCH2026_A0_EN_TH-1.pdf,Ukraine,Map,-,-,12 March 2026,8 March 2026 - 11 March 2026,PDF
